Year	Count	Cause	Size	
1997	154	Fireworks	B	
1997	34	Fireworks	C	
1997	5	Fireworks	D	
1997	2	Fireworks	E	
1997	1	Fireworks	F	
1997	0	Fireworks	G	
1997	613	Railroad operations and maintenance	A	
1997	1257	Railroad operations and maintenance	B	
1997	267	Railroad operations and maintenance	C	
1997	40	Railroad operations and maintenance	D	
1997	13	Railroad operations and maintenance	E	
1997	2	Railroad operations and maintenance	F	
1997	0	Railroad operations and maintenance	G	
1997	3	Firearms and explosives use	A	
1997	0	Firearms and explosives use	B	
1997	1	Firearms and explosives use	C	
1997	0	Firearms and explosives use	D	
1997	1	Firearms and explosives use	E	
1997	0	Firearms and explosives use	F	
1997	0	Firearms and explosives use	G	
1997	890	Smoking	A	
1997	961	Smoking	B	
1997	133	Smoking	C	
1997	10	Smoking	D	
1997	4	Smoking	E	
1997	2	Smoking	F	
1997	1	Smoking	G	
1998	2587	Arson/incendiarism	A	
1998	8270	Arson/incendiarism	B	
1998	2959	Arson/incendiarism	C	
1998	278	Arson/incendiarism	D	
1998	81	Arson/incendiarism	E	
1998	16	Arson/incendiarism	F	
1998	8	Arson/incendiarism	G	
1998	3725	Debris and open burning	A	
1998	9932	Debris and open burning	B	
1998	1613	Debris and open burning	C	
1998	112	Debris and open burning	D	
1998	43	Debris and open burning	E	
1998	11	Debris and open burning	F	
1998	3	Debris and open burning	G	
1998	171	Other causes	A	
1998	77	Other causes	B	
1998	10	Other causes	C	
1998	0	Other causes	D	
1998	0	Other causes	E	
1998	0	Other causes	F	
1998	0	Other causes	G	
1998	1958	Recreation and ceremony	A	
1998	898	Recreation and ceremony	B	
1998	154	Recreation and ceremony	C	
1998	17	Recreation and ceremony	D	
1998	8	Recreation and ceremony	E	
1998	3	Recreation and ceremony	F	
1998	0	Recreation and ceremony	G	
1998	2636	Missing data/not specified/undetermined	A	
1998	4506	Missing data/not specified/undetermined	B	
1998	927	Missing data/not specified/undetermined	C	
1998	89	Missing data/not specified/undetermined	D	
1998	28	Missing data/not specified/undetermined	E	
1998	16	Missing data/not specified/undetermined	F	
1998	6	Missing data/not specified/undetermined	G	
1998	2490	Equipment and vehicle use	A	
1998	2948	Equipment and vehicle use	B	
1998	629	Equipment and vehicle use	C	
1998	86	Equipment and vehicle use	D	
1998	41	Equipment and vehicle use	E	
1998	17	Equipment and vehicle use	F	
1998	10	Equipment and vehicle use	G	
1998	264	Power generation/transmission/distribution	A	
1998	225	Power generation/transmission/distribution	B	
1998	45	Power generation/transmission/distribution	C	
1998	14	Power generation/transmission/distribution	D	
1998	3	Power generation/transmission/distribution	E	
1998	2	Power generation/transmission/distribution	F	
1998	0	Power generation/transmission/distribution	G	
1998	1253	Misuse of fire by a minor	A	
1998	1660	Misuse of fire by a minor	B	
1998	132	Misuse of fire by a minor	C	
1998	9	Misuse of fire by a minor	D	
1998	3	Misuse of fire by a minor	E	
1998	2	Misuse of fire by a minor	F	
1998	0	Misuse of fire by a minor	G	
1998	208	Fireworks	A	
1998	183	Fireworks	B	
1998	31	Fireworks	C	
1998	12	Fireworks	D	
1998	10	Fireworks	E	
1998	2	Fireworks	F	
1998	0	Fireworks	G	
1998	613	Railroad operations and maintenance	A	
1998	1031	Railroad operations and maintenance	B	
1998	206	Railroad operations and maintenance	C	
1998	27	Railroad operations and maintenance	D	
1998	14	Railroad operations and maintenance	E	
1998	6	Railroad operations and maintenance	F	
1998	3	Railroad operations and maintenance	G	
1998	1	Firearms and explosives use	A	
1998	0	Firearms and explosives use	B	
1998	2	Firearms and explosives use	C	
1998	0	Firearms and explosives use	D	
1998	0	Firearms and explosives use	E	
1998	0	Firearms and explosives use	F	
1998	0	Firearms and explosives use	G	
1998	1018	Smoking	A	
1998	1208	Smoking	B	
1998	207	Smoking	C	
1998	12	Smoking	D	
1998	7	Smoking	E	
1998	2	Smoking	F	
1998	0	Smoking	G	
1999	3126	Arson/incendiarism	A	
1999	11192	Arson/incendiarism	B	
1999	4469	Arson/incendiarism	C	
1999	533	Arson/incendiarism	D	
1999	188	Arson/incendiarism	E	
1999	73	Arson/incendiarism	F	
1999	6	Arson/incendiarism	G	
1999	4893	Debris and open burning	A	
1999	15082	Debris and open burning	B	
1999	2755	Debris and open burning	C	
1999	219	Debris and open burning	D	
1999	80	Debris and open burning	E	
1999	45	Debris and open burning	F	
1999	7	Debris and open burning	G	
1999	209	Other causes	A	
1999	215	Other causes	B	
1999	48	Other causes	C	
1999	1	Other causes	D	
1999	1	Other causes	E	
1999	0	Other causes	F	
1999	1	Other causes	G	
1999	2134	Recreation and ceremony	A	
1999	1268	Recreation and ceremony	B	
1999	285	Recreation and ceremony	C	
1999	28	Recreation and ceremony	D	
1999	14	Recreation and ceremony	E	
1999	6	Recreation and ceremony	F	
1999	2	Recreation and ceremony	G	
1999	3459	Missing data/not specified/undetermined	A	
1999	5493	Missing data/not specified/undetermined	B	
1999	1242	Missing data/not specified/undetermined	C	
1999	158	Missing data/not specified/undetermined	D	
1999	79	Missing data/not specified/undetermined	E	
1999	32	Missing data/not specified/undetermined	F	
1999	12	Missing data/not specified/undetermined	G	
1999	2986	Equipment and vehicle use	A	
1999	3862	Equipment and vehicle use	B	
1999	883	Equipment and vehicle use	C	
1999	92	Equipment and vehicle use	D	
1999	49	Equipment and vehicle use	E	
1999	29	Equipment and vehicle use	F	
1999	10	Equipment and vehicle use	G	
1999	256	Power generation/transmission/distribution	A	
1999	262	Power generation/transmission/distribution	B	
1999	56	Power generation/transmission/distribution	C	
1999	12	Power generation/transmission/distribution	D	
1999	5	Power generation/transmission/distribution	E	
1999	12	Power generation/transmission/distribution	F	
1999	9	Power generation/transmission/distribution	G	
1999	1403	Misuse of fire by a minor	A	
1999	1808	Misuse of fire by a minor	B	
1999	171	Misuse of fire by a minor	C	
1999	14	Misuse of fire by a minor	D	
1999	4	Misuse of fire by a minor	E	
1999	2	Misuse of fire by a minor	F	
1999	0	Misuse of fire by a minor	G	
1999	225	Fireworks	A	
1999	183	Fireworks	B	
1999	53	Fireworks	C	
1999	11	Fireworks	D	
1999	8	Fireworks	E	
1999	9	Fireworks	F	
1999	0	Fireworks	G	
1999	629	Railroad operations and maintenance	A	
1999	1521	Railroad operations and maintenance	B	
1999	361	Railroad operations and maintenance	C	
1999	44	Railroad operations and maintenance	D	
1999	19	Railroad operations and maintenance	E	
1999	6	Railroad operations and maintenance	F	
1999	2	Railroad operations and maintenance	G	
1999	8	Firearms and explosives use	A	
1999	15	Firearms and explosives use	B	
1999	13	Firearms and explosives use	C	
1999	2	Firearms and explosives use	D	
1999	2	Firearms and explosives use	E	
1999	2	Firearms and explosives use	F	
1999	0	Firearms and explosives use	G	
1999	1263	Smoking	A	
1999	1698	Smoking	B	
1999	309	Smoking	C	
1999	23	Smoking	D	
1999	11	Smoking	E	
1999	4	Smoking	F	
1999	0	Smoking	G	
2000	3148	Arson/incendiarism	A	
2000	10161	Arson/incendiarism	B	
2000	3952	Arson/incendiarism	C	
2000	510	Arson/incendiarism	D	
2000	183	Arson/incendiarism	E	
2000	76	Arson/incendiarism	F	
2000	10	Arson/incendiarism	G	
2000	5008	Debris and open burning	A	
2000	14243	Debris and open burning	B	
2000	2801	Debris and open burning	C	
2000	201	Debris and open burning	D	
2000	71	Debris and open burning	E	
2000	34	Debris and open burning	F	
2000	13	Debris and open burning	G	
2000	185	Other causes	A	
2000	115	Other causes	B	
2000	13	Other causes	C	
2000	2	Other causes	D	
2000	3	Other causes	E	
2000	2	Other causes	F	
2000	2	Other causes	G	
2000	1825	Recreation and ceremony	A	
2000	925	Recreation and ceremony	B	
2000	231	Recreation and ceremony	C	
2000	35	Recreation and ceremony	D	
2000	11	Recreation and ceremony	E	
2000	11	Recreation and ceremony	F	
2000	10	Recreation and ceremony	G	
2000	8288	Missing data/not specified/undetermined	A	
2000	6811	Missing data/not specified/undetermined	B	
2000	1865	Missing data/not specified/undetermined	C	
2000	221	Missing data/not specified/undetermined	D	
2000	124	Missing data/not specified/undetermined	E	
2000	63	Missing data/not specified/undetermined	F	
2000	24	Missing data/not specified/undetermined	G	
2000	2298	Equipment and vehicle use	A	
2000	3443	Equipment and vehicle use	B	
2000	846	Equipment and vehicle use	C	
2000	122	Equipment and vehicle use	D	
2000	75	Equipment and vehicle use	E	
2000	28	Equipment and vehicle use	F	
2000	11	Equipment and vehicle use	G	
2000	242	Power generation/transmission/distribution	A	
2000	220	Power generation/transmission/distribution	B	
2000	37	Power generation/transmission/distribution	C	
2000	13	Power generation/transmission/distribution	D	
2000	4	Power generation/transmission/distribution	E	
2000	1	Power generation/transmission/distribution	F	
2000	3	Power generation/transmission/distribution	G	
2000	1442	Misuse of fire by a minor	A	
2000	1764	Misuse of fire by a minor	B	
2000	203	Misuse of fire by a minor	C	
2000	14	Misuse of fire by a minor	D	
